Greens,January (early),Alabama
 Pecans,January (early),Alabama
 Sweet Potatoes ,January (early),Alabama
Greens,January (late),Alabama
 Pecans,January (late),Alabama
 Sweet Potatoes ,January (late),Alabama
Greens,February (early),Alabama
 Pecans,February (early),Alabama
 Sweet Potatoes ,February (early),Alabama
Greens,February (late),Alabama
 Pecans,February (late),Alabama
 Sweet Potatoes ,February (late),Alabama
Greens,March (early),Alabama
 Pecans,March (early),Alabama
 Sweet Potatoes ,March (early),Alabama
Greens,March (late),Alabama
 Pecans,March (late),Alabama
 Strawberries ,March (late),Alabama
 Sweet Potatoes ,March (late),Alabama
Greens,April (early),Alabama
 Pecans,April (early),Alabama
 Strawberries ,April (early),Alabama
 Sweet Potatoes ,April (early),Alabama
Cabbage,April (late),Alabama
 Greens,April (late),Alabama
 Pecans,April (late),Alabama
 Squash,April (late),Alabama
 Strawberries ,April (late),Alabama
 Sweet Potatoes ,April (late),Alabama
Cabbage,May (early),Alabama
 Greens,May (early),Alabama
 Pecans,May (early),Alabama
 Snap Beans,May (early),Alabama
 Squash,May (early),Alabama
 Strawberries ,May (early),Alabama
 Sweet Potatoes ,May (early),Alabama
Blueberries,May (late),Alabama
 Cabbage,May (late),Alabama
 Eggplant,May (late),Alabama
 Greens,May (late),Alabama
 Peaches,May (late),Alabama
Peas,May (late),Alabama
 Pecans,May (late),Alabama
 Potatoes,May (late),Alabama
 Snap Beans,May (late),Alabama
 Squash,May (late),Alabama
 Strawberries ,May (late),Alabama
 Sweet Potatoes ,May (late),Alabama
Bell Peppers,June (early),Alabama
 Blueberries,June (early),Alabama
 Cabbage,June (early),Alabama
 Cucumbers,June (early),Alabama
 Eggplant,June (early),Alabama
 Greens,June (early),Alabama
 Peaches,June (early),Alabama
Peas,June (early),Alabama
 Pecans,June (early),Alabama
 Potatoes,June (early),Alabama
 Snap Beans,June (early),Alabama
 Squash,June (early),Alabama
 Sweet Corn,June (early),Alabama
 Sweet Potatoes ,June (early),Alabama
 Tomatoes,June (early),Alabama
 Watermelon,June (early),Alabama
Bell Peppers,June (late),Alabama
 Blueberries,June (late),Alabama
 Cabbage,June (late),Alabama
 Cantaloupes,June (late),Alabama
 Cucumbers,June (late),Alabama
 Eggplant,June (late),Alabama
 Greens,June (late),Alabama
 Lima Beans,June (late),Alabama
 Okra ,June (late),Alabama
 Peaches,June (late),Alabama
Peas,June (late),Alabama
 Pecans,June (late),Alabama
 Potatoes,June (late),Alabama
 Snap Beans,June (late),Alabama
 Squash,June (late),Alabama
 Sweet Corn,June (late),Alabama
 Sweet Potatoes ,June (late),Alabama
 Tomatoes,June (late),Alabama
 Watermelon,June (late),Alabama
Bell Peppers,July (early),Alabama
 Blueberries,July (early),Alabama
 Cabbage,July (early),Alabama
 Cantaloupes,July (early),Alabama
 Cucumbers,July (early),Alabama
 Eggplant,July (early),Alabama
 Greens,July (early),Alabama
 Lima Beans,July (early),Alabama
 Okra ,July (early),Alabama
 Peaches,July (early),Alabama
Peas,July (early),Alabama
 Pecans,July (early),Alabama
 Potatoes,July (early),Alabama
 Snap Beans,July (early),Alabama
 Squash,July (early),Alabama
 Sweet Corn,July (early),Alabama
 Sweet Potatoes ,July (early),Alabama
 Tomatoes,July (early),Alabama
 Watermelon,July (early),Alabama
Apples,July (late),Alabama
 Bell Peppers,July (late),Alabama
 Blueberries,July (late),Alabama
 Cantaloupes,July (late),Alabama
 Cucumbers,July (late),Alabama
 Eggplant,July (late),Alabama
 Greens,July (late),Alabama
 Lima Beans,July (late),Alabama
 Okra ,July (late),Alabama
 Peaches,July (late),Alabama
Peas,July (late),Alabama
 Pecans,July (late),Alabama
 Potatoes,July (late),Alabama
 Snap Beans,July (late),Alabama
 Squash,July (late),Alabama
 Sweet Corn,July (late),Alabama
 Sweet Potatoes ,July (late),Alabama
 Tomatoes,July (late),Alabama
 Watermelon,July (late),Alabama
Apples,August (early),Alabama
 Bell Peppers,August (early),Alabama
 Blueberries,August (early),Alabama
 Cantaloupes,August (early),Alabama
 Cucumbers,August (early),Alabama
 Eggplant,August (early),Alabama
 Greens,August (early),Alabama
 Lima Beans,August (early),Alabama
 Okra ,August (early),Alabama
 Peaches,August (early),Alabama
Peas,August (early),Alabama
 Pecans,August (early),Alabama
 Potatoes,August (early),Alabama
 Snap Beans,August (early),Alabama
 Squash,August (early),Alabama
 Sweet Corn,August (early),Alabama
 Sweet Potatoes ,August (early),Alabama
 Tomatoes,August (early),Alabama
 Watermelon,August (early),Alabama
Apples,August (late),Alabama
 Bell Peppers,August (late),Alabama
 Cantaloupes,August (late),Alabama
 Cucumbers,August (late),Alabama
 Eggplant,August (late),Alabama
 Greens,August (late),Alabama
 Lima Beans,August (late),Alabama
 Okra ,August (late),Alabama
 Peaches,August (late),Alabama
Peas,August (late),Alabama
 Pecans,August (late),Alabama
 Potatoes,August (late),Alabama
 Snap Beans,August (late),Alabama
 Squash,August (late),Alabama
 Sweet Corn,August (late),Alabama
 Sweet Potatoes ,August (late),Alabama
 Tomatoes,August (late),Alabama
 Watermelon,August (late),Alabama
Apples,September (early),Alabama
 Bell Peppers,September (early),Alabama
 Cantaloupes,September (early),Alabama
 Cucumbers,September (early),Alabama
 Eggplant,September (early),Alabama
 Greens,September (early),Alabama
 Lima Beans,September (early),Alabama
 Okra ,September (early),Alabama
 Peaches,September (early),Alabama
Peas,September (early),Alabama
 Pecans,September (early),Alabama
 Snap Beans,September (early),Alabama
 Squash,September (early),Alabama
 Sweet Corn,September (early),Alabama
 Sweet Potatoes ,September (early),Alabama
 Tomatoes,September (early),Alabama
 Watermelon,September (early),Alabama
Apples,September (late),Alabama
 Bell Peppers,September (late),Alabama
 Cabbage,September (late),Alabama
 Cantaloupes,September (late),Alabama
 Cucumbers,September (late),Alabama
 Eggplant,September (late),Alabama
 Greens,September (late),Alabama
 Lima Beans,September (late),Alabama
 Okra ,September (late),Alabama
Peas,September (late),Alabama
 Pecans,September (late),Alabama
Pumpkins,September (late),Alabama
 Snap Beans,September (late),Alabama
 Squash,September (late),Alabama
 Sweet Corn,September (late),Alabama
 Sweet Potatoes ,September (late),Alabama
 Tomatoes,September (late),Alabama
 Watermelon,September (late),Alabama
Apples,October (early),Alabama
 Bell Peppers,October (early),Alabama
 Cabbage,October (early),Alabama
 Cucumbers,October (early),Alabama
 Greens,October (early),Alabama
 Lima Beans,October (early),Alabama
 Okra ,October (early),Alabama
Peas,October (early),Alabama
 Pecans,October (early),Alabama
Pumpkins,October (early),Alabama
 Snap Beans,October (early),Alabama
 Sweet Potatoes ,October (early),Alabama
 Tomatoes,October (early),Alabama
Bell Peppers,October (late),Alabama
 Cabbage,October (late),Alabama
 Cucumbers,October (late),Alabama
 Greens,October (late),Alabama
 Lima Beans,October (late),Alabama
Peas,October (late),Alabama
 Pecans,October (late),Alabama
Pumpkins,October (late),Alabama
 Sweet Potatoes ,October (late),Alabama
 Tomatoes,October (late),Alabama
Cucumbers,November (early),Alabama
 Greens,November (early),Alabama
 Pecans,November (early),Alabama
Pumpkins,November (early),Alabama
 Sweet Potatoes,November (early),Alabama
Greens,November (late),Alabama
 Pecans,November (late),Alabama
 Sweet Potatoes,November (late),Alabama
Greens,December (early),Alabama
 Pecans,December (early),Alabama
Greens,December (late),Alabama
 Pecans,December (late),Alabama
Carrots ,January (early),Alaska
 Potatoes,January (early),Alaska
Carrots ,January (late),Alaska
 Potatoes,January (late),Alaska
Carrots ,February (early),Alaska
 Potatoes,February (early),Alaska
Carrots ,February (late),Alaska
 Potatoes,February (late),Alaska
Carrots ,March (early),Alaska
 Potatoes,March (early),Alaska
Carrots ,March (late),Alaska
 Potatoes,March (late),Alaska
Carrots ,April (early),Alaska
 Potatoes,April (early),Alaska
Carrots ,April (late),Alaska
 Potatoes,April (late),Alaska
Potatoes,May (early),Alaska
Potatoes,May (late),Alaska
 Tomatoes,May (late),Alaska
Broccoli,June (early),Alaska
 Cucumbers,June (early),Alaska
 Potatoes,June (early),Alaska
 Tomatoes,June (early),Alaska
Broccoli,June (late),Alaska
 Cucumbers,June (late),Alaska
 Greens,June (late),Alaska
 Lettuce,June (late),Alaska
 Potatoes,June (late),Alaska
 Scallions,June (late),Alaska
 Tomatoes,June (late),Alaska
Broccoli,July (early),Alaska
 Cauliflower,July (early),Alaska
 Cucumbers,July (early),Alaska
 Greens,July (early),Alaska
 Lettuce,July (early),Alaska
 Potatoes,July (early),Alaska
 Radishes,July (early),Alaska
 Scallions,July (early),Alaska
 Snow Peas ,July (early),Alaska
 Strawberries ,July (early),Alaska
 Summer Squash,July (early),Alaska
 Tomatoes,July (early),Alaska
Beans,July (late),Alaska
 Blueberries,July (late),Alaska
 Broccoli,July (late),Alaska
 Cabbage,July (late),Alaska
 Cauliflower,July (late),Alaska
 Cucumbers,July (late),Alaska
 Currants,July (late),Alaska
 Greens,July (late),Alaska
 Lettuce,July (late),Alaska
Peas,July (late),Alaska
 Potatoes,July (late),Alaska
 Radishes,July (late),Alaska
 Raspberries,July (late),Alaska
 Scallions,July (late),Alaska
 Snow Peas ,July (late),Alaska
 Strawberries ,July (late),Alaska
 Summer Squash,July (late),Alaska
 Tomatoes,July (late),Alaska
Beans,August (early),Alaska
 Beets,August (early),Alaska
 Blueberries,August (early),Alaska
 Broccoli,August (early),Alaska
 Cabbage,August (early),Alaska
Carrots ,August (early),Alaska
 Cauliflower,August (early),Alaska
 Celery,August (early),Alaska
 Cucumbers,August (early),Alaska
 Currants,August (early),Alaska
 Greens,August (early),Alaska
 Lettuce,August (early),Alaska
 Lingonberries ,August (early),Alaska
 Onions ,August (early),Alaska
Peas,August (early),Alaska
 Potatoes,August (early),Alaska
 Radishes,August (early),Alaska
 Raspberries,August (early),Alaska
 Rhubarb,August (early),Alaska
 Rutabagas,August (early),Alaska
 Scallions,August (early),Alaska
 Snow Peas ,August (early),Alaska
 Strawberries ,August (early),Alaska
 Summer Squash,August (early),Alaska
 Tomatoes,August (early),Alaska
 Turnips,August (early),Alaska
Apples,August (late),Alaska
 Beans,August (late),Alaska
 Beets,August (late),Alaska
 Blueberries,August (late),Alaska
 Broccoli,August (late),Alaska
 Brussels Sprouts,August (late),Alaska
 Cabbage,August (late),Alaska
Carrots ,August (late),Alaska
 Cauliflower,August (late),Alaska
 Celery,August (late),Alaska
 Cucumbers,August (late),Alaska
 Currants,August (late),Alaska
 Gooseberries,August (late),Alaska
 Greens,August (late),Alaska
 Lettuce,August (late),Alaska
 Lingonberries ,August (late),Alaska
 Onions ,August (late),Alaska
Peas,August (late),Alaska
 Potatoes,August (late),Alaska
 Radishes,August (late),Alaska
 Rhubarb,August (late),Alaska
 Rutabagas,August (late),Alaska
 Scallions,August (late),Alaska
 Snow Peas ,August (late),Alaska
 Strawberries ,August (late),Alaska
 Summer Squash,August (late),Alaska
 Tomatoes,August (late),Alaska
 Turnips,August (late),Alaska
Winter Squash,August (late),Alaska
Apples,September (early),Alaska
 Beans,September (early),Alaska
 Beets,September (early),Alaska
 Blueberries,September (early),Alaska
 Broccoli,September (early),Alaska
 Brussels Sprouts,September (early),Alaska
 Cabbage,September (early),Alaska
Carrots ,September (early),Alaska
 Cauliflower,September (early),Alaska
 Celery,September (early),Alaska
 Cucumbers,September (early),Alaska
 Currants,September (early),Alaska
 Gooseberries,September (early),Alaska
 Greens,September (early),Alaska
 Lettuce,September (early),Alaska
 Lingonberries ,September (early),Alaska
 Onions ,September (early),Alaska
Peas,September (early),Alaska
 Potatoes,September (early),Alaska
 Radishes,September (early),Alaska
 Rhubarb,September (early),Alaska
 Rutabagas,September (early),Alaska
 Scallions,September (early),Alaska
 Snow Peas ,September (early),Alaska
 Strawberries ,September (early),Alaska
 Summer Squash,September (early),Alaska
 Tomatoes,September (early),Alaska
 Turnips,September (early),Alaska
Winter Squash,September (early),Alaska
Beets,September (late),Alaska
 Brussels Sprouts,September (late),Alaska
 Cabbage,September (late),Alaska
Carrots ,September (late),Alaska
 Cucumbers,September (late),Alaska
 Lettuce,September (late),Alaska
 Onions ,September (late),Alaska
 Potatoes,September (late),Alaska
 Radishes,September (late),Alaska
 Rhubarb,September (late),Alaska
 Rutabagas,September (late),Alaska
 Scallions,September (late),Alaska
 Turnips,September (late),Alaska
Winter Squash,September (late),Alaska
Cabbage,October (early),Alaska
Carrots ,October (early),Alaska
 Potatoes,October (early),Alaska
 Rhubarb,October (early),Alaska
Winter Squash,October (early),Alaska
Cabbage,October (late),Alaska
Carrots ,October (late),Alaska
 Potatoes,October (late),Alaska
 Rhubarb,October (late),Alaska
Winter Squash,October (late),Alaska
Cabbage,November (early),Alaska
Carrots ,November (early),Alaska
 Potatoes,November (early),Alaska
Cabbage,November (late),Alaska
Carrots ,November (late),Alaska
 Potatoes,November (late),Alaska
Cabbage,December (early),Alaska
Carrots ,December (early),Alaska
 Potatoes,December (early),Alaska
Carrots ,December (late),Alaska
 Potatoes,December (late),Alaska
Summer Squash,July (early),Arizona
 Sweet Corn,July (early),Arizona
Black-eyed Peas,July (late),Arizona
 Cucumbers,July (late),Arizona
 Green Beans,July (late),Arizona
 Honey ,July (late),Arizona
 Okra ,July (late),Arizona
 Summer Squash,July (late),Arizona
 Sweet Corn,July (late),Arizona
Apples,August (early),Arizona
 Black-eyed Peas,August (early),Arizona
 Cucumbers,August (early),Arizona
 Green Beans,August (early),Arizona
 Honey ,August (early),Arizona
 Melons,August (early),Arizona
 Okra ,August (early),Arizona
 Peaches,August (early),Arizona
 Pears,August (early),Arizona
 Summer Squash,August (early),Arizona
 Sweet Corn,August (early),Arizona
 White Tamale Corn,August (early),Arizona
Apples,August (late),Arizona
 Bell Peppers,August (late),Arizona
 Black-eyed Peas,August (late),Arizona
 Cucumbers,August (late),Arizona
 Green Beans,August (late),Arizona
 Honey ,August (late),Arizona
 Melons,August (late),Arizona
 Okra ,August (late),Arizona
 Peaches,August (late),Arizona
 Pears,August (late),Arizona
 Peppers,August (late),Arizona
 Summer Squash,August (late),Arizona
 Sweet Corn,August (late),Arizona
 Tomatoes,August (late),Arizona
 White Tamale Corn,August (late),Arizona
Apples,September (early),Arizona
 Bell Peppers,September (early),Arizona
 Black-eyed Peas,September (early),Arizona
 Cucumbers,September (early),Arizona
 Green Beans,September (early),Arizona
 Honey ,September (early),Arizona
 Melons,September (early),Arizona
 Okra ,September (early),Arizona
 Peaches,September (early),Arizona
 Pears,September (early),Arizona
 Peppers,September (early),Arizona
 Pistachios,September (early),Arizona
 Summer Squash,September (early),Arizona
 Sweet Corn,September (early),Arizona
 Tomatoes,September (early),Arizona
 White Tamale Corn,September (early),Arizona
Apples,September (late),Arizona
 Bell Peppers,September (late),Arizona
 Cucumbers,September (late),Arizona
 Green Beans,September (late),Arizona
 Honey ,September (late),Arizona
 Melons,September (late),Arizona
 Okra ,September (late),Arizona
 Peaches,September (late),Arizona
 Pears,September (late),Arizona
 Peppers,September (late),Arizona
 Pistachios,September (late),Arizona
 Summer Squash,September (late),Arizona
 Sweet Corn,September (late),Arizona
 Tomatoes,September (late),Arizona
 White Tamale Corn,September (late),Arizona
Apples,October (early),Arizona
 Peppers,October (early),Arizona
 Pistachios,October (early),Arizona
Winter Squash,October (early),Arizona
Pistachios,October (late),Arizona
Pumpkins,October (late),Arizona
Winter Squash,October (late),Arizona
Pistachios,November (early),Arizona
Pumpkins,November (early),Arizona
Winter Squash,November (early),Arizona
Pecans,November (late),Arizona
 Pistachios,November (late),Arizona
Pumpkins,November (late),Arizona
Winter Squash,November (late),Arizona
Pecans,December (early),Arizona
Greens,March (early),Arkansas
Asparagus,March (late),Arkansas
 Greens,March (late),Arkansas
Asparagus,April (early),Arkansas
 Greens,April (early),Arkansas
 Herbs,April (early),Arkansas
Asparagus,April (late),Arkansas
 Greens,April (late),Arkansas
 Herbs,April (late),Arkansas
Broccoli,May (early),Arkansas
 Cabbage,May (early),Arkansas
 Cucumbers,May (early),Arkansas
 Greens,May (early),Arkansas
 Herbs,May (early),Arkansas
Peas,May (early),Arkansas
 Potatoes,May (early),Arkansas
 Rhubarb,May (early),Arkansas
Broccoli,May (late),Arkansas
 Cabbage,May (late),Arkansas
 Cucumbers,May (late),Arkansas
 Greens,May (late),Arkansas
 Herbs,May (late),Arkansas
Peas,May (late),Arkansas
 Potatoes,May (late),Arkansas
 Rhubarb,May (late),Arkansas
 Strawberries,May (late),Arkansas
Beans,June (early),Arkansas
 Blackberries,June (early),Arkansas
 Broccoli,June (early),Arkansas
 Cabbage,June (early),Arkansas
 Cherries ,June (early),Arkansas
 Cucumbers,June (early),Arkansas
 Herbs,June (early),Arkansas
 Peaches,June (early),Arkansas
 Potatoes,June (early),Arkansas
 Rhubarb,June (early),Arkansas
 Strawberries ,June (early),Arkansas
 Summer Squash,June (early),Arkansas
Beans,June (late),Arkansas
 Blackberries,June (late),Arkansas
 Blueberries,June (late),Arkansas
 Cherries ,June (late),Arkansas
 Cucumbers,June (late),Arkansas
 Eggplant,June (late),Arkansas
 Herbs,June (late),Arkansas
 Nectarines,June (late),Arkansas
 Peaches,June (late),Arkansas
 Potatoes,June (late),Arkansas
 Rhubarb,June (late),Arkansas
 Strawberries ,June (late),Arkansas
 Summer Squash,June (late),Arkansas
Beans,July (early),Arkansas
 Blackberries,July (early),Arkansas
 Blueberries,July (early),Arkansas
 Cantaloupes,July (early),Arkansas
 Cherries ,July (early),Arkansas
 Cucumbers,July (early),Arkansas
 Eggplant,July (early),Arkansas
 Herbs,July (early),Arkansas
 Nectarines,July (early),Arkansas
 Peaches,July (early),Arkansas
 Peppers,July (early),Arkansas
 Potatoes,July (early),Arkansas
 Raspberries,July (early),Arkansas
 Summer Squash,July (early),Arkansas
 Tomatoes,July (early),Arkansas
Beans,July (late),Arkansas
 Blackberries,July (late),Arkansas
 Blueberries,July (late),Arkansas
 Cantaloupes,July (late),Arkansas
 Cherries ,July (late),Arkansas
 Cucumbers,July (late),Arkansas
 Eggplant,July (late),Arkansas
 Herbs,July (late),Arkansas
 Nectarines,July (late),Arkansas
 Peaches,July (late),Arkansas
 Peppers,July (late),Arkansas
 Potatoes,July (late),Arkansas
 Raspberries,July (late),Arkansas
 Summer Squash,July (late),Arkansas
 Sweet Corn,July (late),Arkansas
 Tomatoes,July (late),Arkansas
Asian Pears,August (early),Arkansas
 Blueberries,August (early),Arkansas
 Cantaloupes,August (early),Arkansas
 Cucumbers,August (early),Arkansas
 Eggplant,August (early),Arkansas
 Herbs,August (early),Arkansas
 Nectarines,August (early),Arkansas
 Peaches,August (early),Arkansas
 Peppers,August (early),Arkansas
 Raspberries,August (early),Arkansas
 Summer Squash,August (early),Arkansas
 Sweet Corn,August (early),Arkansas
 Tomatoes,August (early),Arkansas
 Watermelon,August (early),Arkansas
Apples,August (late),Arkansas
 Asian Pears,August (late),Arkansas
 Blueberries,August (late),Arkansas
 Cantaloupes,August (late),Arkansas
 Cucumbers,August (late),Arkansas
 Eggplant,August (late),Arkansas
 Herbs,August (late),Arkansas
 Nectarines,August (late),Arkansas
 Peaches,August (late),Arkansas
 Peppers,August (late),Arkansas
 Raspberries,August (late),Arkansas
 Summer Squash,August (late),Arkansas
 Sweet Corn,August (late),Arkansas
 Tomatoes,August (late),Arkansas
 Watermelon,August (late),Arkansas
Apples,September (early),Arkansas
 Asian Pears,September (early),Arkansas
 Cantaloupes,September (early),Arkansas
 Cucumbers,September (early),Arkansas
 Eggplant,September (early),Arkansas
 Greens,September (early),Arkansas
 Herbs,September (early),Arkansas
 Muscadines,September (early),Arkansas
 Peaches,September (early),Arkansas
 Peppers,September (early),Arkansas
Pumpkins,September (early),Arkansas
 Raspberries,September (early),Arkansas
 Summer Squash,September (early),Arkansas
 Sweet Corn,September (early),Arkansas
 Sweet Potatoes ,September (early),Arkansas
 Tomatoes,September (early),Arkansas
 Watermelon,September (early),Arkansas
Apples,September (late),Arkansas
 Asian Pears,September (late),Arkansas
 Cantaloupes,September (late),Arkansas
 Cucumbers,September (late),Arkansas
 Eggplant,September (late),Arkansas
 Greens,September (late),Arkansas
 Herbs,September (late),Arkansas
 Muscadines,September (late),Arkansas
 Peaches,September (late),Arkansas
 Peppers,September (late),Arkansas
Pumpkins,September (late),Arkansas
 Raspberries,September (late),Arkansas
 Summer Squash,September (late),Arkansas
 Sweet Corn,September (late),Arkansas
 Sweet Potatoes ,September (late),Arkansas
 Tomatoes,September (late),Arkansas
 Watermelon,September (late),Arkansas
Apples,October (early),Arkansas
 Asian Pears,October (early),Arkansas
 Broccoli,October (early),Arkansas
 Cabbage,October (early),Arkansas
 Greens,October (early),Arkansas
 Herbs,October (early),Arkansas
 Muscadines,October (early),Arkansas
Pumpkins,October (early),Arkansas
 Summer Squash,October (early),Arkansas
 Sweet Potatoes ,October (early),Arkansas
 Tomatoes,October (early),Arkansas
 Watermelon,October (early),Arkansas
Apples,October (late),Arkansas
 Asian Pears,October (late),Arkansas
 Broccoli,October (late),Arkansas
 Cabbage,October (late),Arkansas
 Greens,October (late),Arkansas
 Herbs,October (late),Arkansas
 Muscadines,October (late),Arkansas
Pumpkins,October (late),Arkansas
 Summer Squash,October (late),Arkansas
 Sweet Potatoes ,October (late),Arkansas
 Tomatoes,October (late),Arkansas
 Watermelon,October (late),Arkansas
Broccoli,November (early),Arkansas
 Cabbage,November (early),Arkansas
Broccoli,November (late),Arkansas
 Cabbage,November (late),Arkansas
Almonds,January (early),California
 Apples,January (early),California
 Asian Greens ,January (early),California
 Asian Pears,January (early),California
 Avocado,January (early),California
 Beans,January (early),California
 Beets,January (early),California
 Bok Choy,January (early),California
 Broccoli,January (early),California
 Brussels Sprouts,January (early),California
 Cabbage,January (early),California
 Cardoons ,January (early),California
Carrots ,January (early),California
 Cauliflower,January (early),California
 Chard ,January (early),California
 Cherimoyas,January (early),California
 Collards,January (early),California
